title,abstract,year,pmid,source,paperId,study_design,base_score,sample_size,evidence_score
combined anti-tumor effects of metformin and azacitidine in breast cancer cells.,"background: breast cancer is the most common cancer in women. while treatments exist, combination therapies may enhance effectiveness and reduce drug resistance. metformin-a common diabetes medication has shown promising anticancer properties. azacitidine, primarily an epigenetic regulator, also exhibits anticancer effects. methods and materials: the gse45827 dataset was analyzed for differentially expressed genes (degs) using geo2r and shinygo tools. protein-protein interaction (ppi) networks were constructed with stitch and cytoscape, and key genes were identified using mcode. gene expression profiles of selected targets were compared between tumor and matched normal tissues using gtex portal and tnmplot databases. kaplan-meier plotter was used for survival analysis, and potential drug targets were identified with way2drug. in vitro effects of metformin, azacitidine, and their combination on mda-mb-231 cells were assessed using mtt assay, isobologram analysis, wound-healing assay, and real-time pcr for ccnd1, elavl1, and eif4ebp1 gene expression. statistical analysis was performed. results: bioinformatics analysis identified ccnd1, elavl1, and eif4ebp1 as key genes in breast cancer pathogenesis. mtt assays showed that both drugs reduced cell viability in a dose-dependent manner. isobologram analysis confirmed a strong synergistic effect from the combination. wound-healing assays revealed significant inhibition of cancer cell migration. real-time qpcr showed gene expression changes consistent with inhibition of cancer progression. conclusion: the metformin-azacitidine combination synergistically suppresses breast cancer cell proliferation, likely through coordinated modulation of ccnd1, elavl1, and eif4ebp1. these findings highlight the potential of this novel drug combination in breast cancer treatment.",2025 Oct 1,41034794.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
triple-synergistic mitochondria-targeted nir fluorescent probe for mitochondrial hydrogen sulfide: precision monitoring and image-guided resection of metastatic breast cancer.,"metastatic breast cancer (mbc) is the primary cause of breast cancer-related mortality, where mitochondrial h(2)s (mito-h(2)s) serves as a key metastatic mediator. however, further understanding of mito-h(2)s metabolism during metastasis remains limited, largely due to a lack of specific imaging probes. additionally, the inherently low signal-to-noise (s/n) ratio of most fluorescent probes presents significant challenges for tumor localization and surgical resection. to address these, we developed an activatable near-infrared fluorescent probe (scy-h(2)s) featuring triple-synergistic mitochondrial targeting: positive zeta-potential driven electrostatic interactions, high-affinity binding to membrane protein, and selective activation by mito-h(2)s. upon interaction with mito-h(2)s, the probe exhibits a pronounced fluorescence turn-on, achieving a high s/n ratio for real-time tracking of mito-h(2)s dynamics. moreover, by exploiting the role of mito-h(2)s, we elucidate the mechanistic relationship between mito-h(2)s and mitochondrial atp production during cancer progression. the probe successfully visualizes mito-h(2)s upregulation during metformin-induced liver injury and breast cancer metastasis, enabling the accurate delineation of tumor margins for fluorescence-guided resection of liver metastases.",2025 Oct 14,41026860.0,PubMed,,Undetermined / Default,4.0,-1,4.0
survival and radiotherapy-related adverse events in patients receiving radiotherapy and concurrent metformin: a systematic review and meta-analysis of randomised controlled trials and cohort studies.,"background: it remains unclear whether metformin, a widely used antidiabetic medication, has any influence on the survival outcomes or treatment-related toxicities of radiotherapy in cancer patients. given metformin's potential anti-cancer properties, including its ability to inhibit tumour growth through the modulation of cellular metabolism and enhancement of radiosensitivity, its impact on radiotherapy outcomes warrants thorough investigation. this study aimed to evaluate the impact of metformin on survival and adverse events among cancer patients receiving radiotherapy. methods: database searches were conducted in medline, embase, web of science, scopus, and pubmed (2000-2025) to retrieve studies of adults with cancer treated with radiotherapy and concurrent metformin. metformin users were compared with non-users. the pooled overall survival rate was presented in terms of odds ratio (or) and 95% confidence interval (95%ci). diabetic subgroup analyses and meta-regression by cancer type were conducted. ors and 95%cis of radiotherapy-related adverse events were presented by cancer type. results: this study identified 25 articles. the pooled overall survival rate showed no significant difference between metformin users and non-users across subgroups (ors: 1.00-1.77). conflicting survival trends were observed for prostate, oesophageal, and non-small cell lung cancer across diabetic conditions. metformin users with breast cancer exhibited a significantly lower risk of heart failure (or: 0.72; 95%ci: 0.56-0.94) and heart events (or: 0.72; 95%ci: 0.59-0.88). conclusions: metformin did not significantly impact overall survival but may reduce heart-related adverse events in breast cancer patients based on limited data. further research is needed on cancer types and diabetic conditions.",2025 Sep 17,41011257.0,PubMed,,Systematic Review / Meta-Analysis,10.0,-1,10.0
enhanced polarity of sulfonamide metformin derivatives increases cellular uptake and apoptosis-inducing effects in human breast cancer cells.,"multitarget agent metformin, a compound originally developed as an antidiabetic agent, has been extensively studied as a repurposed medicine for various diseases. over the past few decades, the mechanisms by which metformin is transported across cell membranes have also been identified. these include various solute carriers (slcs), such as plasma membrane monoamine transporter (pmat), organic cation transporters 1-3 (oct1-3), and multidrug and toxin extrusion 1-2 (mate1-2), which can facilitate the bidirectional transport of metformin depending on the cell type. since metformin is a highly polar and easily excreted compound, more lipophilic derivatives and prodrugs of metformin have been, in turn,developed to improve the targeted delivery, e.g., into cancer cells. however, the required interactions of novel metformin derivatives with cationic transporters are not yet well understood. in the present study, the cellular uptake of nine metformin sulfonamides with various polar substituents was explored in human breast adenocarcinoma cell lines, mcf-7 and mda-mb-231. the interactions of the novel derivatives with oct1 and oct3 were investigated by docking and molecular dynamics simulations. curiously, the highest cellular uptake was achieved with a compound that effectively released metformin and thus behaved as a prodrug (compound 6). this highlights that despite the molecular interactions with the protein, the greatest driving force into the cancer cells was the intracellular bioconversion. subsequently, the cell viability and apoptosis-inducing effects of the most effectively uptaken compounds were evaluated, which revealed, in turn, that the prodrug approach may not be the most efficient strategy to attain anticancer effects with metformin. some more stable metformin derivatives with polar substituents were many times more effective in inducing apoptosis with smaller intracellular concentrations compared with metformin released from the prodrug 6. therefore, the rational design of novel metformin derivatives should focus on analogical structures of metformin with functionalities that can increase apoptosis-inducing effects while maintaining appropriate interactions with transmembrane proteins, and thus, have a balanced cellular uptake. the polar ring substituents in the sulfonamide moiety of metformin sulfonamides may offer a potential solution.",2026 Feb 2,40977543.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
immune and growth factor signaling pathways are associated with pathologic complete response to an anti-type i insulin-like growth factor receptor regimen in patients with breast cancer.,"purpose: pretreatment specimens from patients treated on the i-spy2 neoadjuvant breast cancer trial were studied to identify prespecified biomarkers associated with response to the regimen of paclitaxel, the anti-type i insulin-like growth factor receptor (igf-1r) antibody ganitumab, and metformin (pgm) followed by doxorubicin and cyclophosphamide (ac) compared with control therapy (paclitaxel followed by ac). the primary endpoint of this trial is pathologic complete response (pcr). experimental design: one hundred six patients treated with pgm and 119 contemporary controls were evaluated using laser capture microdissection and reverse-phase protein array to evaluate 32 prespecified potential predictive biomarkers in the igf-1r pathway and 109 additional exploratory endpoints. results: total levels of igf-1r were poorly correlated with phosphorylated igf-1r/insulin receptor (ir). higher levels of phosphorylated igf-1r/ir were associated with an increased likelihood of obtaining pcr, especially in the hormone receptor (hr)-positive subgroup. markers of immune response also showed an association with pcr but differed between hr+ and hr- subgroups. in hr- tumors, phospho-stat1 y701 and low levels of phospho-p27 associated with pcr. these relationships were not observed in patients treated with control chemotherapy. conclusions: activation status of igf-1r/ir associated with increased pcr to pgm in hr+ breast cancers. immune activation markers were also associated with response in hr+ and hr- subgroups. thus, igf-1r may directly regulate tumor biology and associate with immune response to therapy.",2025 Oct 15,40905691.0,PubMed,,Undetermined / Default,4.0,-1,4.0
spanxb1 drives brain metastasis in breast cancer via mmp1 regulation: potential therapeutic insights with metformin.,"cancer-testicular antigens (ctas) have been considered as potential prognostic biomarkers and therapeutic targets due to their specific expression and roles in tumorigenesis and metastasis. among these, the function and mechanism of spanxb1 in breast cancer brain metastasis (bcbm) remain poorly understood. in this study, we investigated the role of spanxb1 in bcbm. our results demonstrated that spanxb1 was highly expressed in brain-tropic breast cancer cells and brain metastasis samples. functional assays revealed that spanxb1 promoted breast cancer cell invasion, migration, vasculogenic mimicry (vm) formation, and blood-brain barrier (bbb) extravasation, thereby accelerating the process of brain metastasis. mechanistically, spanxb1 facilitated chromatin opening at the mmp1 promoter region via histone h3r17me2 modification and upregulated transcription factor yy1, leading to increased mmp1 expression. in vivo experiments further confirmed the role of spanxb1 in enhancing brain metastasis. notably, metformin effectively inhibited the expression of spanxb1 and mmp1, thereby attenuating bcbm progression. the present study indicates the potential of spanxb1 as a diagnostic and therapeutic target for bcbm. additionally, our findings suggest metformin as a promising therapeutic strategy for this highly aggressive disease.",2025 Aug 30,40885703.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
guardians of sensation: evaluating metformin's power against chemotherapy-induced neuropathy.,"background: chemotherapy-induced peripheral neuropathy (cipn) is a common and debilitating complication of cancer treatment, particularly with agents like paclitaxel. effective preventive measures for cipn are limited. metformin, an antihyperglycemic agent with neuroprotective properties, has shown promise in preclinical studies; however, its clinical utility in preventing cipn remains underexplored. objective: this study evaluates the preventive effects of metformin on paclitaxel-induced peripheral neuropathy in breast cancer patients. methods: a randomized, controlled study was conducted involving 60 breast cancer patients receiving paclitaxel chemotherapy. patients were assigned to an intervention group receiving metformin (500 mg twice daily) or a control group without metformin. peripheral nerve function was assessed using nerve conduction studies (ncss), measuring sensory nerve action potential (snap) amplitude, compound muscle action potential (cmap) amplitude, and distal latency (dl). clinical neurological symptoms and adverse effects of metformin were monitored throughout the study. results: of the 60 enrolled patients, 47 completed the study (26 control and 21 intervention). the incidence of cipn was lower in the metformin group compared to the control group, although this difference did not reach statistical significance. metformin was well-tolerated, with mild gastrointestinal side effects being the most common adverse events. no significant differences between the groups were observed in snap amplitude, cmap amplitude, or dl. conclusion: metformin may modestly reduce the incidence of cipn in patients receiving paclitaxel chemotherapy, although the observed effect was not statistically significant. given its safety profile and potential neuroprotective benefits, metformin warrants further investigation in larger, multicenter trials to confirm its role in cipn prevention.",2025,40880725.0,PubMed,,Undetermined / Default,4.0,60,4.0
metformin for the treatment of breast cancer: a scoping review of randomized clinical trials.,"metformin has been the focus of substantial interest in the field of oncology. although breast cancer is the type of cancer where metformin was most extensively studied through randomized clinical trials (rcts), none of the previous reviews in this field provided a comprehensive overview of the landscape of rcts taking into account the phenotype of breast cancer, its staging, and treatment modalities. this scoping review sought to comprehensively map the literature of rcts focusing on the use of metformin in the treatment of breast cancer and followed the preferred reporting items for systematic review and meta-analysis (prisma) extension for scoping reviews guidelines. the eligibility criteria encompassed all rcts involving metformin for adult patients with breast cancer, with no constraints regarding context, language, publication date, or outcomes. we included 122 reports from 40 rcts comprising a total of 5,623 participants and 107 distinct outcomes. the results showed that most studies did not present results by phenotype of breast cancer and highlighted critical gaps and opportunities in the literature. notably, limited evidence from subgroup analyses within a large rct suggested potential benefits of metformin in improving overall and disease-free survival among her2 + participants but not among patients with other phenotypes, a result that requires further investigation. our findings highlight the potential for considerably expanding the current knowledge base in this field through the retrospective determination of participant phenotypes, facilitating cost-effective and time-efficient individual participant data meta-analyses. furthermore, we recommend that funding agencies and journals mandate the comprehensive presentation of results from rcts on breast cancer based on phenotype.",2025 Aug 21,40841629.0,PubMed,,Systematic Review / Meta-Analysis,10.0,5623,10.0
correction: neoadjuvant chemotherapy with or without metformin in early-stage or locally advanced (non-metastatic) triple negative breast cancer-an open-label phase 2 randomized controlled trial.,[this corrects the article doi: 10.3389/fonc.2025.1561692.].,2025,40823083.0,PubMed,,Randomized Controlled Trial (Phase III/IV),9.0,-1,8.5
association of type 2 diabetes mellitus with histopathological features of non-metastatic breast cancer in chinese women: a retrospective cross-sectional study.,"breast cancer and type 2 diabetes mellitus (t2dm) are prevalent global health concerns, often sharing overlapping pathophysiological mechanisms. this study aimed to characterize the association of type 2 diabetes mellitus (t2dm) with the histopathological features of non-metastatic breast cancer in chinese women and evaluate whether glycemic control, diabetes duration, and treatment were involved. a retrospective cross-sectional analysis was conducted on 924 patients with stage i-iii ductal breast cancer, equally divided into diabetic (n = 462) and nondiabetic (n = 462) groups. patients were stratified by fasting blood glucose (fbg) levels, use of metformin and insulin, and diabetes duration. the expression of hormone receptors estrogen and progesterone (er, pr), human epidermal growth factor receptor 2 (her2), ki-67, histological grade, lymph node metastasis, and pathological tumor node metastasis (ptnm) staging were analyzed. diabetic patients exhibited a higher incidence of triple-negative breast cancer (tnbc) and a lower incidence of her2-positive breast cancer compared to nondiabetic patients. poor glycemic control (fbg >/= 10 mmol/l) was associated with a higher risk of tnbc, histological grade iii disease, and lower er-positive rates compared to those with fbg < 6.1 mmol/l. patients taking metformin had an increased likelihood of tnbc and decreased er-positive rates. insulin-treated patients demonstrated a lower prevalence of ptnm stage i cancers but a nearly fivefold increase in ductal carcinoma in situ (dcis). those receiving combination treatment of metformin and insulin were also more likely to present with dcis. patients with a longer diabetes duration (>/= 7 years) had significantly lower risks of tnbc and her2-positive breast cancer but were more likely to have er- and pr-positive subtypes and histological grade i tumors. these findings highlight the impact of t2dm, glycemic control, and diabetes management on the molecular and histopathological features of non-metastatic breast cancer. while associations were identified, causality could not be determined due to the cross-sectional design. understanding these associations could guide tailored treatment strategies for diabetic breast cancer patients.",2025 Aug 5,40764810.0,PubMed,,Cross-Sectional Study / Case Series,5.0,462,5.5
[multidisciplinary approach for a patient with morbid obesity and psychological issues led from the pharmacy office].,"a 58-year-old woman diagnosed with diabetes and hypercholesterolemia and undergoing treatment for breast cancer. take metformin, rosuvastatin, and anastrozole. she goes to the community pharmacy to pick up a treatment for flatulence that has been prescribed to her in primary care. the prescribed medications are dispensed: clebopride/simeticone and paracetamol in addition to asking the pharmacy for a shower gel without detergent for back irritations. after 5 days of treatment, the patient returns requesting a more powerful analgesic since the pain has worsened.the patient was referred to the emergency department upon detection of an mri of necessity related to an untreated health problem. in the emergency department, he undergoes an ultrasound and intravenous analgesics that relieve the pain, diagnoses nephritic colic and prescribes metamizole and tramadol/paracetamol. the next day the patient goes to her primary care doctor and he tells her to continue with the prescribed treatment in the emergency room.the patient goes to the community pharmacy again requesting something for the rashes on her back since the gel does not calm her. the pharmacist makes a second referral to the doctor, with a written communication of suspicion of herpes zoster, the doctor accepts the intervention and changes the treatment by putting valacyclovir, paracetamol/codeine and capsaicin cream. the patient returns to the pharmacy reporting that the doctor was surprised that it was a pharmacist who gave the correct diagnosis.",2025 Jul 15,40703482.0,PubMed,,Undetermined / Default,4.0,-1,4.0
cancer prevention and interception with antidiabetic and anti-obesity drugs: current and future perspectives.,"obesity and type 2 diabetes are major risk factors for cardiovascular diseases and multiple malignancies, and epidemiology reveals an increasing burden of obesity-related cancers, in particular liver, pancreatic and endometrial. obesity is also clearly associated with an increased risk of breast cancer, particularly in postmenopausal women. chronic hyperinsulinemia, systemic inflammation, and metabolic dysregulation create a tumor-promoting environment, emphasizing the need for interventions that target metabolic health and can provide cancer prevention or interception. this review examines the potential cancer-preventive effects of antidiabetic and anti-obesity drugs, summarizing current preclinical and clinical evidence on their mechanisms and efficacy. among these agents, metformin has been extensively studied, demonstrating anticancer properties through amp-activated protein kinase activation, mammalian target of rapamycin inhibition, and reduced insulin-like growth factor 1 signaling. glucagon-like peptide-1 receptor agonists, including semaglutide and tirzepatide, promote weight loss, insulin sensitivity, and anti-inflammatory effects, with emerging evidence suggesting direct tumor-suppressive actions. sodium-glucose cotransporter 2 inhibitors modulate tumor metabolism by reducing glucose availability and mitigating systemic inflammation. other agents, including dipeptidyl peptidase-4 inhibitors, thiazolidinediones, sulfonylureas, and alpha-glucosidase inhibitors, have shown mixed evidence regarding their potential anticancer effects, necessitating further investigation. while observational studies and meta-analyses suggest a potential reduction in cancer risk with certain antidiabetic and anti-obesity agents, randomized controlled trials specifically assessing cancer prevention are limited. additionally, long-term safety concerns, including potential tumor-promoting effects in specific contexts, warrant further investigation. future research should focus on large-scale clinical trials and mechanistic studies to validate the oncologic benefits and risks of these agents.",2025 Oct,40701453.0,PubMed,,Systematic Review / Meta-Analysis,10.0,-1,10.0
synergistic antitumor effects of ivermectin and metformin in canine breast cancer via pi3k/akt/mtor pathway inhibition.,"ivermectin (ivm) is a macrolide antiparasitic drug, and metformin (met) is a biguanide oral hypoglycemic drug. studies have shown that both of them have obvious anti-tumor effects, but there have been no reports on the combined treatment of canine breast tumors. this report aimed to investigate the effectiveness and the possible mechanism of drug combination on canine breast cancers. mouse breast tumor cells (4t1) and canine breast tumor cells (cmt-1211) were, respectively, treated with ivm, met, and their combination, and then cell viability was assessed. after that, transcriptomic analysis was performed to study the action pathway of the drug combination with regard to its anti-tumor effects. reactive oxygen species (ros) levels were detected by flow cytometry, and autophagosome formation was observed by transmission electron microscopy (tem). immunofluorescence detected the cytoplasmic translocation of lc3b and p62 into the nucleus. western blot detected the protein expressions of lc3b, p62, beclin1, bcl-2, p-pi3k, p-akt, and p-mtor. our transcriptomic analysis showed that the combination of ivm and met regulated the expression of autophagy-related genes and pathways, including the pi3k/akt/mtor signaling pathway. our in vitro experiments showed that the combination of two drugs had a considerably significant effect on cytotoxicity, ros levels, and the formation of autophagosomes compared to each drug alone. meanwhile, the in vivo experiments showed that ivm combined with met had an obvious inhibitory effect on tumor growth in canine breast tumor xenografts. this study concluded that ivm with met activated autophagy, which killed breast cancer cells by inhibiting the activation of the pi3k/akt/mtor pathway and promoting the excessive accumulation of ros. it offers a theoretical foundation for the synergistic effects of met and ivm to suppress breast cancer cell activity.",2025 May 29,40699802.0,PubMed,,Preclinical Study (In Vitro / In Vivo Animal),2.0,-1,2.0
"the effects of hsa-mir-26a-5p on cell proliferation, migration, and pi3k inhibitor sensitivity in metformin-resistant triple negative breast cancer cells.","background/aim: metformin is commonly used to manage type 2 diabetes (t2d) and is being investigated for its potential antiproliferative effects in cancer, particularly in patients with both t2d and malignancies. drug resistance can develop with any therapeutic agent, and metformin is no exception. as we showed in our previous study, metformin-resistant mda-mb-468 (met-r) cells exhibited an emt-like phenotype. many transcription factors, as well as mirnas, can contribute to this altered phenotype. our current study identifies the contribution of hsa-mir-26a-5p expression to the previously observed phenotype. materials and methods: by utilizing bioinformatic tools, we identified hsa-mir-26a-5p, whose expression was significantly altered with increasing concentrations of metformin in met-r cells. we rescued hsa-mir-26a-5p expression and examined the emt phenotype and apoptotic markers via western blot analysis. results: we observed a reduction in hsa-mir-26a-5p expression in response to increasing concentrations of metformin in met-r cells. upon successful restoration of hsa-mir-26a-5p expression, a subsequent decrease in the proliferation rate was noted. moreover, when combined with a pi3k inhibitor, we observed increased sensitivity to the pi3k inhibitor. the emt and apoptotic markers also tended to decrease upon combinatorial treatment. conclusion: in this study, we rescued the diminished expression of hsa-mir-26a-5p in met-r cells to increase the sensitivity to pi3k inhibitor. the combination of a pi3k inhibitor and rescued hsa-mir-26-5p expression resulted in the restoration of the emt phenotype and proliferation in these cells.",2025,40678416.0,PubMed,,Undetermined / Default,4.0,-1,4.0
neoadjuvant chemotherapy with or without metformin in early-stage or locally advanced (non-metastatic) triple negative breast cancer-an open-label phase 2 randomized controlled trial.,"background: triple negative breast cancer (tnbc) is more prevalent among the younger age group and is the most aggressive form. women with tnbc phenotype have 19% lower 5-year overall survival and 18% lower disease-free survival than their non-tnbc counterparts (1). hence, extensive research is essential for the development of treatment modalities with high efficacy. metformin is a widely used anti-diabetic drug. the research work has potential implications for re-purposing metformin in the clinical management of tnbc. methods: the study design includes a phase 2 randomized clinical trial of tnbc, with metformin given for the intervention arm and placebo oral tablet for the non-intervention arm. a total of 418 breast cancer patients are randomized with a parallel assignment model (209 each for the intervention and the control arms). this is an open-label trial where the primary purpose is treatment and adheres to the spirit reporting guidelines. the trial will be initiated during january 2025 and is expected to be completed by may 2027. discussion: the clinical benefit, pathological response rate, and radiological response will be measured after 4.5 to 6 months of initiating treatment. the study will assess the recurrence-free survival (at intervals of 6 months) and overall survival at 2 years from treatment initiation. patients who respond to the intervention are expected to have >50% decrease in the size of the primary tumor without the appearance of new lesions. recist v1.1 criteria are used to determine the objective tumor response for target lesions.",2025,40636683.0,PubMed,,Randomized Controlled Trial (Phase III/IV),9.0,-1,8.5
targeting insulin-like growth factor-1 (igf-1) by using metformin in non-diabetic metastatic breast cancer female patients: a randomized controlled trial.,"purpose: insulin-like growth factor-1 (igf-1) may play a role in breast cancer (bc) development. metformin was found to exert anti-cancer function in several studies, partly by interference with the igf-1 signaling pathway and reducing its blood levels. therefore, our study aimed primarily to find out how metformin affected both igf-1 levels and clinical outcomes in metastatic breast cancer patients (mbc) and secondarily to identify the correlation between post-treatment igf-1 decline rates and bc prognosis and metastasis. methods: fifty mbc female patients were randomly assigned to either the control group (who were administered conventional chemotherapy) and the intervention group (treated with metformin plus chemotherapy). an enzyme-linked immunosorbent assay (elisa) was used to detect igf-1 levels at baseline and three months post-treatment. results: igf-1 levels in the metformin group were significantly lower than in the control group (p = 0.011). furthermore, the percentage of post-treatment drop in igf-1 levels differed significantly between the control and metformin groups (p = 0.001). patients whose igf-1 levels increased after treatment had a statistically significant occurrence of progressive disease (disease progression) in the control group higher than in the metformin group (92.9% versus 87.5%). conclusion: the co-administration of metformin with chemotherapy significantly inhibited the igf-1 signaling pathway, which reduced progressive diseases and reduced mortality in non-diabetic mbc patients. however, while metformin exerts a robust igf-1 lowering effect, combination chemotherapy and low metastasis burden may further enhance this effect. trail registration: our trial was registered at clinicaltrials.gov (id no. nct04143282).",2025 Jun 28,40579605.0,PubMed,,Randomized Controlled Trial (Phase III/IV),9.0,-1,8.5
metformin to treat breast cancer: an application of the prevalent new-user design for observational studies with no active comparator.,"objectives: numerous observational studies have reported significant reductions in cancer outcomes, including breast cancer in women, with metformin use. however, most studies were affected by immortal time bias. we assessed whether metformin use in women diagnosed with breast cancer is associated with lower breast cancer-related and all-cause mortality and illustrate the impact of immortal time bias on the results. study design and setting: the clinical practice research datalink was used to identify a base cohort of all women with a new diagnosis of breast cancer and with type 2 diabetes, at least 18 years of age, between 1998 and 2020. we employed the prevalent new-user design to match metformin initiators 1:1 with nonusers on a prior diabetes diagnosis and time-conditional propensity scores. we also used the naive approach that introduces immortal time when classifying metformin users. hazard ratios (hrs) and 95% cis of all-cause and breast cancer-related death were estimated. results: the base cohort included 13,314 women newly diagnosed with breast cancer and with type 2 diabetes, before (n = 4761) and after (n = 8553) their breast cancer diagnosis, of which 5047 initiated metformin during follow-up. the prevalent new-user design included 4923 metformin initiators and 4923 matched nonusers. the hrs of breast cancer-related and all-cause mortality were 1.12 (95% ci: 0.98-1.28) and 0.96 (95% ci: 0.89-1.05), respectively. the naive approach, among women with diabetes at cohort entry, which included 1354 metformin users and 3407 metformin nonusers, resulted in adjusted hrs of 0.45 (95% ci: 0.40-0.50) and 0.58 (95% ci: 0.54-0.62) for breast cancer and all-cause mortality. conclusion: in this study, the use of metformin was not associated with a reduced risk of breast cancer-related and all-cause mortality. using the flawed approach not accounting for immortal time bias, we confirmed the implausible beneficial effects of metformin on breast cancer and all-cause mortality reported in previous studies. plain language summary: observational studies have reported that the antidiabetic drug metformin can increase the survival of women with breast cancer. however, these studies were shown to have a flaw in their analysis, called ""immoral time bias"", known to exaggerate the benefit of a drug. we used a cohort of over 13,000 women with breast cancer to investigate the effectiveness of metformin on reducing mortality in women with breast cancer, using both the flawed and a correct time-matched approach. using the flawed approach, we confirmed the implausible beneficial effects of metformin on breast cancer-related and on all-cause mortality reported in previous studies. using the correct time-matched approach, we found that the use of metformin was not associated with these beneficial effects, confirming the impact of the flaw.",2025 Sep,40578405.0,PubMed,,Undetermined / Default,4.0,4761,5.0
metformin: a dual-role player in cancer treatment and prevention: a comprehensive systematic review and meta-analysis.,"background and objectives: metformin is said to reduce the incidences and deaths resulting from cancer in patients suffering from type 2 diabetes mellitus, but the results have been inconsistent. perform a systematic review and meta-analysis concentrating on the different outcomes of several cancers while taking into account the impact of metformin use. materials and methods: as of 15 october 2024, the literature for medline, embase, and web of science was systematically searched. robins-i and the rob 2 tool were used for assessing the risk of bias in observational studies and randomized controlled trials (rcts), respectively. the strength of the evidence with respect to the grade criteria was checked. random effects meta-analyses were conducted alongside sensitivity analyses, subgroup analyses, and meta-regressions. by utilizing funnel plots as well as egger's test and trim-and-fill analysis, publication bias was evaluated. results: in total, 65 studies were included in the final analyses: metformin intake was linked to a lower risk of cancer (rr 0.72; 95% ci: 0.64-0.81, i(2) = 45%). significant reductions were observed in breast cancer (rr 0.68; 95% ci: 0.55-0.83) and colorectal cancers (rr 0.62; 95% ci: 0.51-0.76). evidence certainty fluctuated from moderate to low, though analyses confirmed the results. plofs funded the publication bias, but adjustment in trim-and-fill did not change the outcome significantly. conclusions: metformin intake seems to lower the chances of developing several types of cancers, especially breast and colorectal cancers, but the observational designs hinder determining the causal factors for observational studies. there is a need for large rcts.",2025 May 30,40572709.0,PubMed,,Systematic Review / Meta-Analysis,10.0,-1,10.0
